Bulk Edit Items,,,,,,,,,,
Barcode,Item Code,Item Name,Item Group,Warehouse,Quantity,Stock UOM,Valuation Rate,Amount,Quantity Difference,Amount Difference
barcode,item_code,item_name,item_group,warehouse,qty,stock_uom,valuation_rate,amount,quantity_difference,amount_difference
 , , , , , , , , , , 
The CSV format is case sensitive,,,,,,,,,,
Do not edit headers which are preset in the template,,,,,,,,,,
------,,,,,,,,,,
,JD1601,BB 10 LTS SNI TP280,BBF,GD. UTAMA - C,0,BTG,55260,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,JD16,BB 8 STD SNI TP280,BBF,GD. UTAMA - C,0,BTG,36998,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,JD1525,BB 10 STD SNI TP280,BBF,GD. UTAMA - C,0,BTG,58220,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,JD14,BB 12 IBD SNI TP280,BBF,GD. UTAMA - C,0,BTG,79680,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,JD125,BB 8 KZATI ULIR TS280,BB,GD. UTAMA - C,0,BTG,35102,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,JD1207,BB 10 LTS ULIR SNI TS280,BBF,GD. UTAMA - C,0,BTG,55260,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,JD099,SPANDEK BD 1000 x 0.25 x 5 M,SPD,GD. UTAMA - C,0,LBR,120000,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,JD0925,BB 8 JAS SNI TP280,BBF,GD. UTAMA - C,0,BTG,36761,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,JD092,BB 6 SHS SNI TP280,BBF,GD. UTAMA - C,0,BTG,24500,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,JD091,BB 8 IBD SNI TP280,BBF,GD. UTAMA - C,0,BTG,40079,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,JD0907,KAWAT BWG 16 @50 KG,KAWAT,GD. UTAMA - C,0,ROLL,655500,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,JD090,BB 13 IBD ULIR SNI TS280,BB,GD. UTAMA - C,0,BTG,96750,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,JD089,BB 10 OKE SNI TP280,BB,GD. UTAMA - C,0,BTG,48600,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,JD088,BB 10 IBS SNI TP280,BBF,GD. UTAMA - C,0,BTG,63030,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,JD0825,"PAKU NAIL 3/4""",PAKU,GD. UTAMA - C,0,DUS,510500,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,JD078,"PAKU A Y 3""",PAKU,GD. UTAMA - C,0,DUS,324500,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,JD077,"PAKU A Y 2""",PAKU,GD. UTAMA - C,0,DUS,311000,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
